Time,Data,Prediction_t(+1)
101.0000,0.0316,nan
102.0000,0.0946,0.0970
103.0000,0.1572,0.1589
104.0000,0.2192,0.2189
105.0000,0.2804,0.2777
106.0000,0.3404,0.3353
107.0000,0.3990,0.3916
108.0000,0.4561,0.4464
109.0000,0.5113,0.4996
110.0000,0.5646,0.5509
111.0000,0.6155,0.6002
112.0000,0.6640,0.6471
113.0000,0.7099,0.6916
114.0000,0.7529,0.7333
115.0000,0.7930,0.7722
116.0000,0.8298,0.8080
117.0000,0.8634,0.8406
118.0000,0.8935,0.8699
119.0000,0.9201,0.8957
120.0000,0.9429,0.9180
121.0000,0.9621,0.9366
122.0000,0.9774,0.9515
123.0000,0.9888,0.9626
124.0000,0.9962,0.9699
125.0000,0.9997,0.9733
126.0000,0.9992,0.9728
127.0000,0.9947,0.9684
128.0000,0.9863,0.9602
129.0000,0.9739,0.9482
130.0000,0.9577,0.9324
131.0000,0.9376,0.9128
132.0000,0.9138,0.8896
133.0000,0.8863,0.8629
134.0000,0.8553,0.8327
135.0000,0.8209,0.7992
136.0000,0.7832,0.7625
137.0000,0.7424,0.7229
138.0000,0.6987,0.6803
139.0000,0.6521,0.6350
140.0000,0.6030,0.5871
141.0000,0.5515,0.5369
142.0000,0.4977,0.4846
143.0000,0.4420,0.4304
144.0000,0.3845,0.3744
145.0000,0.3255,0.3169
146.0000,0.2652,0.2582
147.0000,0.2038,0.1985
148.0000,0.1416,0.1379
149.0000,0.0789,0.0768
150.0000,0.0158,0.0154
151.0000,-0.0473,-0.0461
152.0000,-0.1103,-0.1073
153.0000,-0.1728,-0.1683
154.0000,-0.2346,-0.2284
155.0000,-0.2955,-0.2877
156.0000,-0.3552,-0.3458
157.0000,-0.4135,-0.4026
158.0000,-0.4701,-0.4577
159.0000,-0.5249,-0.5110
160.0000,-0.5775,-0.5623
161.0000,-0.6279,-0.6113
162.0000,-0.6758,-0.6579
163.0000,-0.7209,-0.7019
164.0000,-0.7632,-0.7431
165.0000,-0.8025,-0.7813
166.0000,-0.8385,-0.8164
167.0000,-0.8712,-0.8482
168.0000,-0.9005,-0.8767
169.0000,-0.9261,-0.9017
170.0000,-0.9481,-0.9230
171.0000,-0.9663,-0.9407
172.0000,-0.9806,-0.9547
173.0000,-0.9910,-0.9648
174.0000,-0.9975,-0.9711
175.0000,-1.0000,-0.9735
176.0000,-0.9985,-0.9720
177.0000,-0.9930,-0.9667
178.0000,-0.9836,-0.9575
179.0000,-0.9702,-0.9445
180.0000,-0.9530,-0.9278
181.0000,-0.9320,-0.9073
182.0000,-0.9072,-0.8833
183.0000,-0.8789,-0.8557
184.0000,-0.8470,-0.8247
185.0000,-0.8118,-0.7904
186.0000,-0.7733,-0.7531
187.0000,-0.7318,-0.7127
188.0000,-0.6873,-0.6696
189.0000,-0.6401,-0.6238
190.0000,-0.5903,-0.5757
191.0000,-0.5382,-0.5253
192.0000,-0.4840,-0.4730
193.0000,-0.4278,-0.4189
194.0000,-0.3699,-0.3632
195.0000,-0.3105,-0.3063
196.0000,-0.2499,-0.2481
197.0000,-0.1883,-0.1889
198.0000,-0.1260,-0.1285
199.0000,nan,-0.0665
