Time, X(t-0), X(t-1), X(t-2), X(t-3), X(t-4), X(t-5), X(t-6), X(t-7), X(t-8), X(t-9)
 10.000000,  -1.227810,   0.895540,  -0.782390,   0.876620,  -0.631920,   0.818730,  -0.994310,   0.682470,  -0.519300,   0.072840
 11.000000,   0.840320,  -1.227810,   0.895540,  -0.782390,   0.876620,  -0.631920,   0.818730,  -0.994310,   0.682470,  -0.519300
 12.000000,   0.220870,   0.840320,  -1.227810,   0.895540,  -0.782390,   0.876620,  -0.631920,   0.818730,  -0.994310,   0.682470
 13.000000,  -1.094220,   0.220870,   0.840320,  -1.227810,   0.895540,  -0.782390,   0.876620,  -0.631920,   0.818730,  -0.994310
 14.000000,   0.929060,  -1.094220,   0.220870,   0.840320,  -1.227810,   0.895540,  -0.782390,   0.876620,  -0.631920,   0.818730
 15.000000,   0.027610,   0.929060,  -1.094220,   0.220870,   0.840320,  -1.227810,   0.895540,  -0.782390,   0.876620,  -0.631920
 16.000000,  -1.294900,   0.027610,   0.929060,  -1.094220,   0.220870,   0.840320,  -1.227810,   0.895540,  -0.782390,   0.876620
 17.000000,   0.877490,  -1.294900,   0.027610,   0.929060,  -1.094220,   0.220870,   0.840320,  -1.227810,   0.895540,  -0.782390
 18.000000,   0.036980,   0.877490,  -1.294900,   0.027610,   0.929060,  -1.094220,   0.220870,   0.840320,  -1.227810,   0.895540
 19.000000,  -0.030980,   0.036980,   0.877490,  -1.294900,   0.027610,   0.929060,  -1.094220,   0.220870,   0.840320,  -1.227810
 20.000000,  -0.985940,  -0.030980,   0.036980,   0.877490,  -1.294900,   0.027610,   0.929060,  -1.094220,   0.220870,   0.840320
 21.000000,   0.692160,  -0.985940,  -0.030980,   0.036980,   0.877490,  -1.294900,   0.027610,   0.929060,  -1.094220,   0.220870
 22.000000,   0.128990,   0.692160,  -0.985940,  -0.030980,   0.036980,   0.877490,  -1.294900,   0.027610,   0.929060,  -1.094220
 23.000000,  -1.348590,   0.128990,   0.692160,  -0.985940,  -0.030980,   0.036980,   0.877490,  -1.294900,   0.027610,   0.929060
 24.000000,   0.966330,  -1.348590,   0.128990,   0.692160,  -0.985940,  -0.030980,   0.036980,   0.877490,  -1.294900,   0.027610
 25.000000,   0.094630,   0.966330,  -1.348590,   0.128990,   0.692160,  -0.985940,  -0.030980,   0.036980,   0.877490,  -1.294900
 26.000000,   0.490370,   0.094630,   0.966330,  -1.348590,   0.128990,   0.692160,  -0.985940,  -0.030980,   0.036980,   0.877490
 27.000000,  -0.596160,   0.490370,   0.094630,   0.966330,  -1.348590,   0.128990,   0.692160,  -0.985940,  -0.030980,   0.036980
 28.000000,   0.976780,  -0.596160,   0.490370,   0.094630,   0.966330,  -1.348590,   0.128990,   0.692160,  -0.985940,  -0.030980
 29.000000,  -0.875830,   0.976780,  -0.596160,   0.490370,   0.094630,   0.966330,  -1.348590,   0.128990,   0.692160,  -0.985940
 30.000000,   0.887290,  -0.875830,   0.976780,  -0.596160,   0.490370,   0.094630,   0.966330,  -1.348590,   0.128990,   0.692160
 31.000000,  -0.259830,   0.887290,  -0.875830,   0.976780,  -0.596160,   0.490370,   0.094630,   0.966330,  -1.348590,   0.128990
 32.000000,  -0.970490,  -0.259830,   0.887290,  -0.875830,   0.976780,  -0.596160,   0.490370,   0.094630,   0.966330,  -1.348590
 33.000000,   0.692420,  -0.970490,  -0.259830,   0.887290,  -0.875830,   0.976780,  -0.596160,   0.490370,   0.094630,   0.966330
 34.000000,  -0.381270,   0.692420,  -0.970490,  -0.259830,   0.887290,  -0.875830,   0.976780,  -0.596160,   0.490370,   0.094630
 35.000000,   0.430340,  -0.381270,   0.692420,  -0.970490,  -0.259830,   0.887290,  -0.875830,   0.976780,  -0.596160,   0.490370
 36.000000,  -0.520700,   0.430340,  -0.381270,   0.692420,  -0.970490,  -0.259830,   0.887290,  -0.875830,   0.976780,  -0.596160
 37.000000,   0.893290,  -0.520700,   0.430340,  -0.381270,   0.692420,  -0.970490,  -0.259830,   0.887290,  -0.875830,   0.976780
 38.000000,  -0.352620,   0.893290,  -0.520700,   0.430340,  -0.381270,   0.692420,  -0.970490,  -0.259830,   0.887290,  -0.875830
 39.000000,   0.196410,  -0.352620,   0.893290,  -0.520700,   0.430340,  -0.381270,   0.692420,  -0.970490,  -0.259830,   0.887290
 40.000000,  -0.591740,   0.196410,  -0.352620,   0.893290,  -0.520700,   0.430340,  -0.381270,   0.692420,  -0.970490,  -0.259830
 41.000000,   0.676910,  -0.591740,   0.196410,  -0.352620,   0.893290,  -0.520700,   0.430340,  -0.381270,   0.692420,  -0.970490
 42.000000,  -1.155510,   0.676910,  -0.591740,   0.196410,  -0.352620,   0.893290,  -0.520700,   0.430340,  -0.381270,   0.692420
 43.000000,   0.869950,  -1.155510,   0.676910,  -0.591740,   0.196410,  -0.352620,   0.893290,  -0.520700,   0.430340,  -0.381270
 44.000000,   0.244200,   0.869950,  -1.155510,   0.676910,  -0.591740,   0.196410,  -0.352620,   0.893290,  -0.520700,   0.430340
 45.000000,  -0.686830,   0.244200,   0.869950,  -1.155510,   0.676910,  -0.591740,   0.196410,  -0.352620,   0.893290,  -0.520700
 46.000000,   0.823180,  -0.686830,   0.244200,   0.869950,  -1.155510,   0.676910,  -0.591740,   0.196410,  -0.352620,   0.893290
 47.000000,  -1.599240,   0.823180,  -0.686830,   0.244200,   0.869950,  -1.155510,   0.676910,  -0.591740,   0.196410,  -0.352620
 48.000000,   0.927520,  -1.599240,   0.823180,  -0.686830,   0.244200,   0.869950,  -1.155510,   0.676910,  -0.591740,   0.196410
 49.000000,  -0.039490,   0.927520,  -1.599240,   0.823180,  -0.686830,   0.244200,   0.869950,  -1.155510,   0.676910,  -0.591740
 50.000000,   0.083600,  -0.039490,   0.927520,  -1.599240,   0.823180,  -0.686830,   0.244200,   0.869950,  -1.155510,   0.676910
 51.000000,   0.305020,   0.083600,  -0.039490,   0.927520,  -1.599240,   0.823180,  -0.686830,   0.244200,   0.869950,  -1.155510
 52.000000,  -0.325380,   0.305020,   0.083600,  -0.039490,   0.927520,  -1.599240,   0.823180,  -0.686830,   0.244200,   0.869950
 53.000000,  -1.008920,  -0.325380,   0.305020,   0.083600,  -0.039490,   0.927520,  -1.599240,   0.823180,  -0.686830,   0.244200
 54.000000,   0.944690,  -1.008920,  -0.325380,   0.305020,   0.083600,  -0.039490,   0.927520,  -1.599240,   0.823180,  -0.686830
 55.000000,  -0.992040,   0.944690,  -1.008920,  -0.325380,   0.305020,   0.083600,  -0.039490,   0.927520,  -1.599240,   0.823180
 56.000000,   1.020130,  -0.992040,   0.944690,  -1.008920,  -0.325380,   0.305020,   0.083600,  -0.039490,   0.927520,  -1.599240
 57.000000,  -0.513640,   1.020130,  -0.992040,   0.944690,  -1.008920,  -0.325380,   0.305020,   0.083600,  -0.039490,   0.927520
 58.000000,   0.610040,  -0.513640,   1.020130,  -0.992040,   0.944690,  -1.008920,  -0.325380,   0.305020,   0.083600,  -0.039490
 59.000000,  -1.246250,   0.610040,  -0.513640,   1.020130,  -0.992040,   0.944690,  -1.008920,  -0.325380,   0.305020,   0.083600
 60.000000,   0.656910,  -1.246250,   0.610040,  -0.513640,   1.020130,  -0.992040,   0.944690,  -1.008920,  -0.325380,   0.305020
 61.000000,   0.112660,   0.656910,  -1.246250,   0.610040,  -0.513640,   1.020130,  -0.992040,   0.944690,  -1.008920,  -0.325380
 62.000000,   0.252850,   0.112660,   0.656910,  -1.246250,   0.610040,  -0.513640,   1.020130,  -0.992040,   0.944690,  -1.008920
 63.000000,  -1.374290,   0.252850,   0.112660,   0.656910,  -1.246250,   0.610040,  -0.513640,   1.020130,  -0.992040,   0.944690
 64.000000,   0.959910,  -1.374290,   0.252850,   0.112660,   0.656910,  -1.246250,   0.610040,  -0.513640,   1.020130,  -0.992040
 65.000000,  -0.046610,   0.959910,  -1.374290,   0.252850,   0.112660,   0.656910,  -1.246250,   0.610040,  -0.513640,   1.020130
 66.000000,   0.287580,  -0.046610,   0.959910,  -1.374290,   0.252850,   0.112660,   0.656910,  -1.246250,   0.610040,  -0.513640
 67.000000,  -0.033900,   0.287580,  -0.046610,   0.959910,  -1.374290,   0.252850,   0.112660,   0.656910,  -1.246250,   0.610040
 68.000000,  -1.135670,  -0.033900,   0.287580,  -0.046610,   0.959910,  -1.374290,   0.252850,   0.112660,   0.656910,  -1.246250
 69.000000,   0.792020,  -1.135670,  -0.033900,   0.287580,  -0.046610,   0.959910,  -1.374290,   0.252850,   0.112660,   0.656910
 70.000000,   0.035940,   0.792020,  -1.135670,  -0.033900,   0.287580,  -0.046610,   0.959910,  -1.374290,   0.252850,   0.112660
 71.000000,   0.358230,   0.035940,   0.792020,  -1.135670,  -0.033900,   0.287580,  -0.046610,   0.959910,  -1.374290,   0.252850
 72.000000,  -1.270400,   0.358230,   0.035940,   0.792020,  -1.135670,  -0.033900,   0.287580,  -0.046610,   0.959910,  -1.374290
 73.000000,   1.020460,  -1.270400,   0.358230,   0.035940,   0.792020,  -1.135670,  -0.033900,   0.287580,  -0.046610,   0.959910
 74.000000,   0.070030,   1.020460,  -1.270400,   0.358230,   0.035940,   0.792020,  -1.135670,  -0.033900,   0.287580,  -0.046610
 75.000000,   0.224420,   0.070030,   1.020460,  -1.270400,   0.358230,   0.035940,   0.792020,  -1.135670,  -0.033900,   0.287580
 76.000000,  -0.165720,   0.224420,   0.070030,   1.020460,  -1.270400,   0.358230,   0.035940,   0.792020,  -1.135670,  -0.033900
 77.000000,  -0.948170,  -0.165720,   0.224420,   0.070030,   1.020460,  -1.270400,   0.358230,   0.035940,   0.792020,  -1.135670
 78.000000,   0.905010,  -0.948170,  -0.165720,   0.224420,   0.070030,   1.020460,  -1.270400,   0.358230,   0.035940,   0.792020
 79.000000,   0.106370,   0.905010,  -0.948170,  -0.165720,   0.224420,   0.070030,   1.020460,  -1.270400,   0.358230,   0.035940
 80.000000,  -1.524170,   0.106370,   0.905010,  -0.948170,  -0.165720,   0.224420,   0.070030,   1.020460,  -1.270400,   0.358230
 81.000000,   0.933310,  -1.524170,   0.106370,   0.905010,  -0.948170,  -0.165720,   0.224420,   0.070030,   1.020460,  -1.270400
 82.000000,  -0.012140,   0.933310,  -1.524170,   0.106370,   0.905010,  -0.948170,  -0.165720,   0.224420,   0.070030,   1.020460
 83.000000,   0.342470,  -0.012140,   0.933310,  -1.524170,   0.106370,   0.905010,  -0.948170,  -0.165720,   0.224420,   0.070030
 84.000000,   0.148390,   0.342470,  -0.012140,   0.933310,  -1.524170,   0.106370,   0.905010,  -0.948170,  -0.165720,   0.224420
 85.000000,   0.093220,   0.148390,   0.342470,  -0.012140,   0.933310,  -1.524170,   0.106370,   0.905010,  -0.948170,  -0.165720
 86.000000,  -1.016620,   0.093220,   0.148390,   0.342470,  -0.012140,   0.933310,  -1.524170,   0.106370,   0.905010,  -0.948170
 87.000000,   1.012940,  -1.016620,   0.093220,   0.148390,   0.342470,  -0.012140,   0.933310,  -1.524170,   0.106370,   0.905010
 88.000000,   0.192290,   1.012940,  -1.016620,   0.093220,   0.148390,   0.342470,  -0.012140,   0.933310,  -1.524170,   0.106370
 89.000000,  -1.616420,   0.192290,   1.012940,  -1.016620,   0.093220,   0.148390,   0.342470,  -0.012140,   0.933310,  -1.524170
 90.000000,   0.785260,  -1.616420,   0.192290,   1.012940,  -1.016620,   0.093220,   0.148390,   0.342470,  -0.012140,   0.933310
 91.000000,   0.021370,   0.785260,  -1.616420,   0.192290,   1.012940,  -1.016620,   0.093220,   0.148390,   0.342470,  -0.012140
 92.000000,  -0.161270,   0.021370,   0.785260,  -1.616420,   0.192290,   1.012940,  -1.016620,   0.093220,   0.148390,   0.342470
 93.000000,  -0.007030,  -0.161270,   0.021370,   0.785260,  -1.616420,   0.192290,   1.012940,  -1.016620,   0.093220,   0.148390
 94.000000,  -0.697970,  -0.007030,  -0.161270,   0.021370,   0.785260,  -1.616420,   0.192290,   1.012940,  -1.016620,   0.093220
 95.000000,   0.648970,  -0.697970,  -0.007030,  -0.161270,   0.021370,   0.785260,  -1.616420,   0.192290,   1.012940,  -1.016620
 96.000000,  -0.981110,   0.648970,  -0.697970,  -0.007030,  -0.161270,   0.021370,   0.785260,  -1.616420,   0.192290,   1.012940
 97.000000,   0.705130,  -0.981110,   0.648970,  -0.697970,  -0.007030,  -0.161270,   0.021370,   0.785260,  -1.616420,   0.192290
 98.000000,  -0.799890,   0.705130,  -0.981110,   0.648970,  -0.697970,  -0.007030,  -0.161270,   0.021370,   0.785260,  -1.616420
 99.000000,   0.493400,  -0.799890,   0.705130,  -0.981110,   0.648970,  -0.697970,  -0.007030,  -0.161270,   0.021370,   0.785260
100.000000,  -0.304930,   0.493400,  -0.799890,   0.705130,  -0.981110,   0.648970,  -0.697970,  -0.007030,  -0.161270,   0.021370
101.000000,  -0.215750,  -0.304930,   0.493400,  -0.799890,   0.705130,  -0.981110,   0.648970,  -0.697970,  -0.007030,  -0.161270
102.000000,   0.666350,  -0.215750,  -0.304930,   0.493400,  -0.799890,   0.705130,  -0.981110,   0.648970,  -0.697970,  -0.007030
103.000000,  -1.171140,   0.666350,  -0.215750,  -0.304930,   0.493400,  -0.799890,   0.705130,  -0.981110,   0.648970,  -0.697970
104.000000,   0.752420,  -1.171140,   0.666350,  -0.215750,  -0.304930,   0.493400,  -0.799890,   0.705130,  -0.981110,   0.648970
105.000000,   0.042260,   0.752420,  -1.171140,   0.666350,  -0.215750,  -0.304930,   0.493400,  -0.799890,   0.705130,  -0.981110
106.000000,  -0.645310,   0.042260,   0.752420,  -1.171140,   0.666350,  -0.215750,  -0.304930,   0.493400,  -0.799890,   0.705130
107.000000,   0.460200,  -0.645310,   0.042260,   0.752420,  -1.171140,   0.666350,  -0.215750,  -0.304930,   0.493400,  -0.799890
108.000000,  -0.988770,   0.460200,  -0.645310,   0.042260,   0.752420,  -1.171140,   0.666350,  -0.215750,  -0.304930,   0.493400
109.000000,   0.849340,  -0.988770,   0.460200,  -0.645310,   0.042260,   0.752420,  -1.171140,   0.666350,  -0.215750,  -0.304930
110.000000,   0.235070,   0.849340,  -0.988770,   0.460200,  -0.645310,   0.042260,   0.752420,  -1.171140,   0.666350,  -0.215750
111.000000,  -1.603790,   0.235070,   0.849340,  -0.988770,   0.460200,  -0.645310,   0.042260,   0.752420,  -1.171140,   0.666350
112.000000,   1.095890,  -1.603790,   0.235070,   0.849340,  -0.988770,   0.460200,  -0.645310,   0.042260,   0.752420,  -1.171140
113.000000,   0.238500,   1.095890,  -1.603790,   0.235070,   0.849340,  -0.988770,   0.460200,  -0.645310,   0.042260,   0.752420
114.000000,  -0.076390,   0.238500,   1.095890,  -1.603790,   0.235070,   0.849340,  -0.988770,   0.460200,  -0.645310,   0.042260
115.000000,   0.479310,  -0.076390,   0.238500,   1.095890,  -1.603790,   0.235070,   0.849340,  -0.988770,   0.460200,  -0.645310
116.000000,   0.364830,   0.479310,  -0.076390,   0.238500,   1.095890,  -1.603790,   0.235070,   0.849340,  -0.988770,   0.460200
117.000000,  -1.223290,   0.364830,   0.479310,  -0.076390,   0.238500,   1.095890,  -1.603790,   0.235070,   0.849340,  -0.988770
118.000000,   0.959850,  -1.223290,   0.364830,   0.479310,  -0.076390,   0.238500,   1.095890,  -1.603790,   0.235070,   0.849340
119.000000,   0.111200,   0.959850,  -1.223290,   0.364830,   0.479310,  -0.076390,   0.238500,   1.095890,  -1.603790,   0.235070
120.000000,   0.042730,   0.111200,   0.959850,  -1.223290,   0.364830,   0.479310,  -0.076390,   0.238500,   1.095890,  -1.603790
121.000000,   0.247590,   0.042730,   0.111200,   0.959850,  -1.223290,   0.364830,   0.479310,  -0.076390,   0.238500,   1.095890
122.000000,  -0.694550,   0.247590,   0.042730,   0.111200,   0.959850,  -1.223290,   0.364830,   0.479310,  -0.076390,   0.238500
123.000000,   0.950230,  -0.694550,   0.247590,   0.042730,   0.111200,   0.959850,  -1.223290,   0.364830,   0.479310,  -0.076390
124.000000,  -1.136800,   0.950230,  -0.694550,   0.247590,   0.042730,   0.111200,   0.959850,  -1.223290,   0.364830,   0.479310
125.000000,   0.993760,  -1.136800,   0.950230,  -0.694550,   0.247590,   0.042730,   0.111200,   0.959850,  -1.223290,   0.364830
126.000000,  -0.026230,   0.993760,  -1.136800,   0.950230,  -0.694550,   0.247590,   0.042730,   0.111200,   0.959850,  -1.223290
127.000000,  -0.380860,  -0.026230,   0.993760,  -1.136800,   0.950230,  -0.694550,   0.247590,   0.042730,   0.111200,   0.959850
128.000000,  -0.174820,  -0.380860,  -0.026230,   0.993760,  -1.136800,   0.950230,  -0.694550,   0.247590,   0.042730,   0.111200
129.000000,  -0.257240,  -0.174820,  -0.380860,  -0.026230,   0.993760,  -1.136800,   0.950230,  -0.694550,   0.247590,   0.042730
130.000000,  -0.021660,  -0.257240,  -0.174820,  -0.380860,  -0.026230,   0.993760,  -1.136800,   0.950230,  -0.694550,   0.247590
131.000000,  -0.048600,  -0.021660,  -0.257240,  -0.174820,  -0.380860,  -0.026230,   0.993760,  -1.136800,   0.950230,  -0.694550
132.000000,   0.442830,  -0.048600,  -0.021660,  -0.257240,  -0.174820,  -0.380860,  -0.026230,   0.993760,  -1.136800,   0.950230
133.000000,  -1.102670,   0.442830,  -0.048600,  -0.021660,  -0.257240,  -0.174820,  -0.380860,  -0.026230,   0.993760,  -1.136800
134.000000,   1.222610,  -1.102670,   0.442830,  -0.048600,  -0.021660,  -0.257240,  -0.174820,  -0.380860,  -0.026230,   0.993760
135.000000,   0.313720,   1.222610,  -1.102670,   0.442830,  -0.048600,  -0.021660,  -0.257240,  -0.174820,  -0.380860,  -0.026230
136.000000,  -0.396130,   0.313720,   1.222610,  -1.102670,   0.442830,  -0.048600,  -0.021660,  -0.257240,  -0.174820,  -0.380860
137.000000,   0.505130,  -0.396130,   0.313720,   1.222610,  -1.102670,   0.442830,  -0.048600,  -0.021660,  -0.257240,  -0.174820
138.000000,  -0.786900,   0.505130,  -0.396130,   0.313720,   1.222610,  -1.102670,   0.442830,  -0.048600,  -0.021660,  -0.257240
139.000000,   0.898810,  -0.786900,   0.505130,  -0.396130,   0.313720,   1.222610,  -1.102670,   0.442830,  -0.048600,  -0.021660
140.000000,  -0.567730,   0.898810,  -0.786900,   0.505130,  -0.396130,   0.313720,   1.222610,  -1.102670,   0.442830,  -0.048600
141.000000,  -0.109640,  -0.567730,   0.898810,  -0.786900,   0.505130,  -0.396130,   0.313720,   1.222610,  -1.102670,   0.442830
142.000000,   0.391300,  -0.109640,  -0.567730,   0.898810,  -0.786900,   0.505130,  -0.396130,   0.313720,   1.222610,  -1.102670
143.000000,  -0.410630,   0.391300,  -0.109640,  -0.567730,   0.898810,  -0.786900,   0.505130,  -0.396130,   0.313720,   1.222610
144.000000,   0.940420,  -0.410630,   0.391300,  -0.109640,  -0.567730,   0.898810,  -0.786900,   0.505130,  -0.396130,   0.313720
145.000000,  -0.975670,   0.940420,  -0.410630,   0.391300,  -0.109640,  -0.567730,   0.898810,  -0.786900,   0.505130,  -0.396130
146.000000,   1.040700,  -0.975670,   0.940420,  -0.410630,   0.391300,  -0.109640,  -0.567730,   0.898810,  -0.786900,   0.505130
147.000000,  -0.041010,   1.040700,  -0.975670,   0.940420,  -0.410630,   0.391300,  -0.109640,  -0.567730,   0.898810,  -0.786900
148.000000,  -0.924740,  -0.041010,   1.040700,  -0.975670,   0.940420,  -0.410630,   0.391300,  -0.109640,  -0.567730,   0.898810
149.000000,   0.864470,  -0.924740,  -0.041010,   1.040700,  -0.975670,   0.940420,  -0.410630,   0.391300,  -0.109640,  -0.567730
150.000000,  -0.164410,   0.864470,  -0.924740,  -0.041010,   1.040700,  -0.975670,   0.940420,  -0.410630,   0.391300,  -0.109640
151.000000,  -0.091820,  -0.164410,   0.864470,  -0.924740,  -0.041010,   1.040700,  -0.975670,   0.940420,  -0.410630,   0.391300
152.000000,   0.419980,  -0.091820,  -0.164410,   0.864470,  -0.924740,  -0.041010,   1.040700,  -0.975670,   0.940420,  -0.410630
153.000000,  -0.886070,   0.419980,  -0.091820,  -0.164410,   0.864470,  -0.924740,  -0.041010,   1.040700,  -0.975670,   0.940420
154.000000,   1.013570,  -0.886070,   0.419980,  -0.091820,  -0.164410,   0.864470,  -0.924740,  -0.041010,   1.040700,  -0.975670
155.000000,  -0.343060,   1.013570,  -0.886070,   0.419980,  -0.091820,  -0.164410,   0.864470,  -0.924740,  -0.041010,   1.040700
156.000000,  -0.109780,  -0.343060,   1.013570,  -0.886070,   0.419980,  -0.091820,  -0.164410,   0.864470,  -0.924740,  -0.041010
157.000000,   0.420480,  -0.109780,  -0.343060,   1.013570,  -0.886070,   0.419980,  -0.091820,  -0.164410,   0.864470,  -0.924740
158.000000,  -0.758180,   0.420480,  -0.109780,  -0.343060,   1.013570,  -0.886070,   0.419980,  -0.091820,  -0.164410,   0.864470
