Time, X(t-0), X(t-1), X(t-2), X(t-3), X(t-4), X(t-5), X(t-6), X(t-7), X(t-8), X(t-9)
 10.000000,  -1.120410,   0.776440,  -0.719120,   0.805200,  -0.819540,   0.798000,  -0.794410,   0.799800,  -0.601300,  -0.099200
 11.000000,   0.891360,  -1.120410,   0.776440,  -0.719120,   0.805200,  -0.819540,   0.798000,  -0.794410,   0.799800,  -0.601300
 12.000000,   0.216300,   0.891360,  -1.120410,   0.776440,  -0.719120,   0.805200,  -0.819540,   0.798000,  -0.794410,   0.799800
 13.000000,  -1.031190,   0.216300,   0.891360,  -1.120410,   0.776440,  -0.719120,   0.805200,  -0.819540,   0.798000,  -0.794410
 14.000000,   0.865810,  -1.031190,   0.216300,   0.891360,  -1.120410,   0.776440,  -0.719120,   0.805200,  -0.819540,   0.798000
 15.000000,   0.126620,   0.865810,  -1.031190,   0.216300,   0.891360,  -1.120410,   0.776440,  -0.719120,   0.805200,  -0.819540
 16.000000,  -1.181790,   0.126620,   0.865810,  -1.031190,   0.216300,   0.891360,  -1.120410,   0.776440,  -0.719120,   0.805200
 17.000000,   0.929080,  -1.181790,   0.126620,   0.865810,  -1.031190,   0.216300,   0.891360,  -1.120410,   0.776440,  -0.719120
 18.000000,   0.141210,   0.929080,  -1.181790,   0.126620,   0.865810,  -1.031190,   0.216300,   0.891360,  -1.120410,   0.776440
 19.000000,   0.020820,   0.141210,   0.929080,  -1.181790,   0.126620,   0.865810,  -1.031190,   0.216300,   0.891360,  -1.120410
 20.000000,  -0.909820,   0.020820,   0.141210,   0.929080,  -1.181790,   0.126620,   0.865810,  -1.031190,   0.216300,   0.891360
 21.000000,   0.868510,  -0.909820,   0.020820,   0.141210,   0.929080,  -1.181790,   0.126620,   0.865810,  -1.031190,   0.216300
 22.000000,   0.164280,   0.868510,  -0.909820,   0.020820,   0.141210,   0.929080,  -1.181790,   0.126620,   0.865810,  -1.031190
 23.000000,  -1.278620,   0.164280,   0.868510,  -0.909820,   0.020820,   0.141210,   0.929080,  -1.181790,   0.126620,   0.865810
