Time, X(t-0), X(t-1), X(t-2), X(t-3), X(t-4), X(t-5), X(t-6), X(t-7), X(t-8), X(t-9)
 10.450000,  -2.622700,  -0.988000,   1.126700,   3.193500,   4.688000,   5.357100,   5.282100,   4.745600,   4.046400,   3.409300
 10.500000,  -3.554900,  -2.622700,  -0.988000,   1.126700,   3.193500,   4.688000,   5.357100,   5.282100,   4.745600,   4.046400
 10.550000,  -3.915000,  -3.554900,  -2.622700,  -0.988000,   1.126700,   3.193500,   4.688000,   5.357100,   5.282100,   4.745600
 10.600000,  -3.925600,  -3.915000,  -3.554900,  -2.622700,  -0.988000,   1.126700,   3.193500,   4.688000,   5.357100,   5.282100
 10.650000,  -3.651500,  -3.925600,  -3.915000,  -3.554900,  -2.622700,  -0.988000,   1.126700,   3.193500,   4.688000,   5.357100
 10.700000,  -3.054100,  -3.651500,  -3.925600,  -3.915000,  -3.554900,  -2.622700,  -0.988000,   1.126700,   3.193500,   4.688000
 10.750000,  -2.236400,  -3.054100,  -3.651500,  -3.925600,  -3.915000,  -3.554900,  -2.622700,  -0.988000,   1.126700,   3.193500
 10.800000,  -1.456400,  -2.236400,  -3.054100,  -3.651500,  -3.925600,  -3.915000,  -3.554900,  -2.622700,  -0.988000,   1.126700
 10.850000,  -0.899000,  -1.456400,  -2.236400,  -3.054100,  -3.651500,  -3.925600,  -3.915000,  -3.554900,  -2.622700,  -0.988000
 10.900000,  -0.553300,  -0.899000,  -1.456400,  -2.236400,  -3.054100,  -3.651500,  -3.925600,  -3.915000,  -3.554900,  -2.622700
 10.950000,  -0.285800,  -0.553300,  -0.899000,  -1.456400,  -2.236400,  -3.054100,  -3.651500,  -3.925600,  -3.915000,  -3.554900
 11.000000,   0.028700,  -0.285800,  -0.553300,  -0.899000,  -1.456400,  -2.236400,  -3.054100,  -3.651500,  -3.925600,  -3.915000
 11.050000,   0.440800,   0.028700,  -0.285800,  -0.553300,  -0.899000,  -1.456400,  -2.236400,  -3.054100,  -3.651500,  -3.925600
 11.100000,   0.942800,   0.440800,   0.028700,  -0.285800,  -0.553300,  -0.899000,  -1.456400,  -2.236400,  -3.054100,  -3.651500
