Time,TentMap
1,-0.0992
2,-0.6013
3,0.7998
4,-0.79441
5,0.798
6,-0.81954
7,0.8052
8,-0.71912
9,0.77644
10,-1.12041
11,0.89136
12,0.2163
13,-1.03119
14,0.86581
15,0.12662
16,-1.18179
17,0.92908
18,0.14121
19,0.02082
20,-0.90982
21,0.86851
22,0.16428
23,-1.27862
24,0.95064
25,0.09827
26,0.19645
27,-0.75307
28,0.78616
29,-0.98474
30,0.85251
31,-0.05898
32,-0.70468
33,0.82282
34,-0.47316
35,0.36
36,-0.71965
37,0.82616
38,-0.42665
39,0.24045
40,-0.48066
41,0.77293
42,-1.1693
43,0.90536
44,0.18843
45,-0.64067
46,0.75397
47,-1.43388
48,0.98114
49,0.03756
50,0.07508
51,0.15009
52,-0.10355
53,-0.59012
54,0.79731
55,-0.82913
56,0.80794
57,-0.68078
58,0.76546
59,-1.27359
60,0.93523
61,0.12896
62,0.19241
63,-1.35092
64,0.96674
65,0.06621
66,0.13236
67,0.14476
68,-1.22842
69,0.93946
70,0.12053
71,0.24094
72,-1.37635
73,0.96466
74,0.07036
75,0.14065
76,0.02859
77,-0.9298
78,0.87296
79,0.22638
80,-1.43823
81,0.98619
82,0.0275
83,0.05497
84,0.10988
85,0.21966
86,-1.07817
87,0.87926
88,0.24039
89,-1.36859
90,0.96244
91,0.07479
92,0.1495
93,-0.09534
94,-0.61123
95,0.80201
96,-0.76356
97,0.78916
98,-0.94282
99,0.8405
100,-0.22649
101,-0.27407
102,0.54787
103,-1.09519
104,0.90979
105,0.17961
106,-0.51713
107,0.47304
108,-0.94561
109,0.87648
110,0.24593
111,-1.44624
112,0.98468
113,0.03051
114,0.06099
115,0.12192
116,0.24372
117,-1.41527
118,0.97581
119,0.04817
120,0.0963
121,0.1925
122,-0.69767
123,0.77029
124,-1.20612
125,0.91591
126,0.16743
127,-0.34653
128,0.03449
129,-0.06894
130,0.13781
131,-0.27547
132,0.55067
133,-1.1008
134,0.91104
135,0.17712
136,-0.48229
137,0.38349
138,-0.7666
139,0.83661
140,-0.28075
141,-0.1346
142,0.26907
143,-0.53788
144,0.78568
145,-0.99149
146,0.85444
147,-0.03201
148,-0.77401
149,0.83826
150,-0.25772
151,-0.1938
152,0.3874
153,-0.77442
154,0.83835
155,-0.25647
156,-0.19703
157,0.39386
158,-0.78732
159,0.84123
160,-0.21637
161,-0.3001
162,0.59989
163,-1.19918
164,0.93295
165,0.1335
166,0.12886
167,-1.18756
168,0.93036
169,0.13865
170,0.05663
171,-1.00188
172,0.88901
173,0.22098
174,-1.09673
175,0.88458
176,0.22981
177,-1.22035
178,0.91998
179,0.15932
180,-0.23287
181,-0.25769
182,0.51512
183,-1.02972
184,0.89521
185,0.20863
186,-0.92377
187,0.83505
188,-0.30262
189,-0.07839
190,0.15671
191,-0.31326
192,0.6262
193,-1.25177
194,0.94466
195,0.11018
196,0.22024
197,-1.0864
198,0.88162
199,0.23569
200,-1.30285
201,0.94361
202,0.11227
203,0.22444
