Time,Data,Prediction_t(+1)
101.0000,0.0316,nan
102.0000,0.0946,0.0971
103.0000,0.1572,0.1590
104.0000,0.2192,0.2191
105.0000,0.2804,0.2778
106.0000,0.3404,0.3355
107.0000,0.3990,0.3918
108.0000,0.4561,0.4466
109.0000,0.5113,0.4999
110.0000,0.5646,0.5512
111.0000,0.6155,0.6006
112.0000,0.6640,0.6475
113.0000,0.7099,0.6920
114.0000,0.7529,0.7338
115.0000,0.7930,0.7727
116.0000,0.8298,0.8085
117.0000,0.8634,0.8412
118.0000,0.8935,0.8705
119.0000,0.9201,0.8963
120.0000,0.9429,0.9186
121.0000,0.9621,0.9373
122.0000,0.9774,0.9521
123.0000,0.9888,0.9633
124.0000,0.9962,0.9705
125.0000,0.9997,0.9739
126.0000,0.9992,0.9734
127.0000,0.9947,0.9691
128.0000,0.9863,0.9609
129.0000,0.9739,0.9488
130.0000,0.9577,0.9330
131.0000,0.9376,0.9134
132.0000,0.9138,0.8902
133.0000,0.8863,0.8635
134.0000,0.8553,0.8333
135.0000,0.8209,0.7998
136.0000,0.7832,0.7631
137.0000,0.7424,0.7233
138.0000,0.6987,0.6807
139.0000,0.6521,0.6354
140.0000,0.6030,0.5875
141.0000,0.5515,0.5373
142.0000,0.4977,0.4850
143.0000,0.4420,0.4306
144.0000,0.3845,0.3747
145.0000,0.3255,0.3171
146.0000,0.2652,0.2584
147.0000,0.2038,0.1986
148.0000,0.1416,0.1380
149.0000,0.0789,0.0768
150.0000,0.0158,0.0154
151.0000,-0.0473,-0.0461
152.0000,-0.1103,-0.1074
153.0000,-0.1728,-0.1684
154.0000,-0.2346,-0.2286
155.0000,-0.2955,-0.2879
156.0000,-0.3552,-0.3461
157.0000,-0.4135,-0.4028
158.0000,-0.4701,-0.4580
159.0000,-0.5249,-0.5114
160.0000,-0.5775,-0.5627
161.0000,-0.6279,-0.6117
162.0000,-0.6758,-0.6584
163.0000,-0.7209,-0.7024
164.0000,-0.7632,-0.7436
165.0000,-0.8025,-0.7818
166.0000,-0.8385,-0.8169
167.0000,-0.8712,-0.8488
168.0000,-0.9005,-0.8773
169.0000,-0.9261,-0.9023
170.0000,-0.9481,-0.9237
171.0000,-0.9663,-0.9414
172.0000,-0.9806,-0.9553
173.0000,-0.9910,-0.9654
174.0000,-0.9975,-0.9717
175.0000,-1.0000,-0.9742
176.0000,-0.9985,-0.9727
177.0000,-0.9930,-0.9674
178.0000,-0.9836,-0.9582
179.0000,-0.9702,-0.9452
180.0000,-0.9530,-0.9284
181.0000,-0.9320,-0.9079
182.0000,-0.9072,-0.8839
183.0000,-0.8789,-0.8562
184.0000,-0.8470,-0.8253
185.0000,-0.8118,-0.7909
186.0000,-0.7733,-0.7536
187.0000,-0.7318,-0.7132
188.0000,-0.6873,-0.6701
189.0000,-0.6401,-0.6242
190.0000,-0.5903,-0.5760
191.0000,-0.5382,-0.5256
192.0000,-0.4840,-0.4732
193.0000,-0.4278,-0.4191
194.0000,-0.3699,-0.3634
195.0000,-0.3105,-0.3064
196.0000,-0.2499,-0.2482
197.0000,-0.1883,-0.1890
198.0000,-0.1260,-0.1286
199.0000,nan,-0.0666
