Time,Data,Prediction_t(+1)
102.0000,-1.2877,nan
103.0000,0.4394,0.8291
104.0000,-0.1194,0.1970
105.0000,1.4553,0.5455
106.0000,-1.4522,-0.7949
107.0000,-0.2129,-0.2581
108.0000,1.1403,0.7714
109.0000,-1.1523,-0.3064
110.0000,0.5858,0.6038
111.0000,0.0227,0.3001
112.0000,0.8775,0.6064
113.0000,-0.5192,-0.4251
114.0000,1.1396,1.1255
115.0000,-1.4618,0.1985
116.0000,0.3419,0.6307
117.0000,0.7915,0.3355
118.0000,-0.7694,-0.8204
119.0000,0.8119,1.0822
120.0000,-0.7124,-0.3773
121.0000,1.4832,0.9662
122.0000,-1.3628,-0.7198
123.0000,0.2406,0.2252
124.0000,0.7683,0.4687
125.0000,-0.5327,-0.2719
126.0000,1.4174,0.9495
127.0000,-1.2639,-0.9216
128.0000,0.5169,0.4813
129.0000,0.4767,0.4131
130.0000,0.1681,0.7185
131.0000,0.5158,0.2271
132.0000,0.1068,0.0579
133.0000,0.9393,0.9176
134.0000,-0.9698,-0.5109
135.0000,0.8169,0.6800
136.0000,-0.8705,-0.0054
137.0000,1.3428,0.8655
138.0000,-1.3902,-1.1444
139.0000,0.0282,0.1802
140.0000,1.2739,0.5815
141.0000,-0.9491,-1.2909
142.0000,1.0982,0.9544
143.0000,-0.4743,-1.3595
144.0000,1.2960,1.1200
145.0000,-1.3171,-1.1329
146.0000,0.5317,0.3497
147.0000,0.4973,0.3198
148.0000,0.1015,0.6547
149.0000,1.0045,0.2127
150.0000,-0.7131,-0.9918
151.0000,1.1896,1.0094
152.0000,-1.3306,-0.0942
153.0000,0.5372,0.8260
154.0000,0.3574,0.1754
155.0000,0.1723,0.5077
156.0000,0.4002,0.4576
157.0000,0.4691,0.3225
158.0000,0.4740,-0.6038
159.0000,0.4869,0.3221
160.0000,-0.3526,0.2013
161.0000,0.7443,1.2166
162.0000,-1.1307,-0.5232
163.0000,0.4438,0.9271
164.0000,0.5323,0.3082
165.0000,0.7010,0.6958
166.0000,-0.3612,-0.3870
167.0000,1.3866,0.9208
168.0000,-1.1913,-1.3138
169.0000,0.3576,0.8122
170.0000,0.2594,0.3785
171.0000,0.3768,0.4982
172.0000,0.2548,-0.2517
173.0000,0.1863,0.7081
174.0000,0.8941,0.3529
175.0000,-0.0269,-0.6292
176.0000,1.1631,0.9271
177.0000,-1.2747,-0.6703
178.0000,0.1799,0.8273
179.0000,0.4745,0.5213
180.0000,-0.1333,0.3091
181.0000,1.0006,0.8646
182.0000,-0.7447,-1.3183
183.0000,0.9934,0.8292
184.0000,-1.3225,-0.7189
185.0000,0.5358,0.0296
186.0000,0.4903,0.4065
187.0000,0.5186,-0.9567
188.0000,0.5642,0.0678
189.0000,0.1488,0.4599
190.0000,0.6269,0.8097
191.0000,0.1110,-1.2316
192.0000,0.8966,0.7839
193.0000,-0.7596,-1.3585
194.0000,0.7844,0.7230
195.0000,-1.2774,-0.7059
196.0000,0.5587,0.7117
197.0000,0.6340,0.3723
198.0000,0.0206,0.1558
199.0000,0.5489,0.6603
200.0000,0.0403,-0.8708
201.0000,nan,0.9115
