Time,x,y
1,-0.0375,1.0968
2,0.0647,0.8452
3,0.289,1.0555
4,0.1232,0.8745
5,0.294,0.8512
6,0.1713,0.8986
7,0.3124,0.8462
8,0.4319,0.9397
9,0.5738,0.8418
10,0.6857,0.9748
11,0.6468,0.6051
12,0.7122,0.6941
13,0.6392,0.643
14,0.6799,0.7143
15,0.8636,0.6958
16,0.7822,0.5151
17,0.9024,0.523
18,0.8706,0.6077
19,1.1238,0.3357
20,0.9088,0.3406
21,0.9365,0.2561
22,1.0107,0.2619
23,1.0495,0.0116
24,1.1021,0.1101
25,0.8736,0.0323
26,0.973,-0.1148
27,0.9664,-0.1336
28,0.9386,-0.2208
29,0.9092,-0.2295
30,0.8594,-0.3808
31,0.8327,-0.2443
32,0.9127,-0.357
33,0.8724,-0.4806
34,0.8535,-0.4953
35,0.8549,-0.4628
36,0.7674,-0.4984
37,0.7168,-0.5849
38,0.8297,-0.7174
39,0.6386,-0.7994
40,0.7664,-0.7372
41,0.5577,-0.7098
42,0.4773,-0.83
43,0.5936,-1.0376
44,0.5111,-0.9458
45,0.5359,-0.9493
46,0.3639,-0.9289
47,0.3114,-0.8918
48,0.3811,-0.8182
49,0.0709,-1.1227
50,0.1354,-0.9522
51,-0.0181,-1.0827
52,-0.1448,-0.988
53,0.0383,-1.0369
54,-0.3315,-0.9735
55,-0.2279,-0.8602
56,-0.2647,-1.0732
57,-0.1676,-0.9251
58,-0.279,-0.7829
59,-0.458,-0.7437
60,-0.7338,-0.8348
61,-0.4884,-0.9794
62,-0.7515,-0.692
63,-0.8885,-0.7225
64,-0.6685,-0.808
65,-0.72,-0.7234
66,-0.7909,-0.5645
67,-1.0954,-0.5424
68,-0.9375,-0.542
69,-0.9585,-0.4097
70,-0.8346,-0.2558
71,-0.931,-0.1718
72,-0.7881,-0.2022
73,-0.8719,-0.0888
74,-0.9905,-0.1067
75,-1.0533,-0.0347
76,-0.9828,0.0666
77,-1.0341,0.2283
78,-0.9962,0.3978
79,-0.9414,0.1646
80,-1.0853,0.3357
81,-0.9607,0.2908
82,-0.865,0.5232
83,-0.954,0.4036
84,-0.7374,0.4437
85,-1.0151,0.5289
86,-0.7632,0.528
87,-0.8404,0.5514
88,-0.6798,0.5505
89,-0.5631,0.6615
90,-0.632,0.7189
91,-0.6293,0.8097
92,-0.4548,0.9471
93,-0.6347,1.0325
94,-0.4192,0.9904
95,-0.3747,0.8738
96,-0.2402,0.8917
97,-0.1682,0.9183
98,-0.1877,0.9391
99,-0.2416,1.1643
100,-0.0122,1.1891
101,0.1306,0.9602
102,0.0246,1.0539
103,0.1315,1.1033
104,0.0614,1.0491
105,0.2861,0.9978
106,0.37,0.8586
107,0.3812,0.8076
108,0.4945,0.8496
109,0.5357,0.8544
110,0.661,0.9558
111,0.7718,0.7827
112,0.6518,0.7709
113,0.7019,0.6609
114,0.6514,0.631
115,0.6808,0.6025
116,0.9826,0.6209
117,0.9673,0.5913
118,0.9301,0.5197
119,0.8753,0.157
120,0.8007,0.3973
121,0.9256,0.2826
122,0.9936,0.1428
123,0.9639,0.0935
124,1.0488,0.0489
125,0.9388,0.1204
126,1.0345,-0.1097
127,1.0356,-0.0253
128,0.951,-0.132
129,0.9173,-0.4671
130,0.9694,-0.3349
131,0.8007,-0.4909
132,1.0289,-0.3779
133,0.8771,-0.4593
134,0.7553,-0.2789
135,0.8426,-0.5773
136,0.7936,-0.674
137,0.7067,-0.7234
138,0.6326,-0.8764
139,0.6847,-0.6906
140,0.5037,-0.6354
141,0.3786,-0.8038
142,0.4123,-0.9995
143,0.4515,-0.961
144,0.3934,-0.9869
145,0.2582,-1.0034
146,0.3436,-1.0773
147,0.2413,-0.8864
148,0.1925,-1.1033
149,-0.025,-0.7975
150,0.1759,-0.9935
151,-0.113,-0.9978
152,-0.2245,-0.8318
153,-0.1516,-0.8069
154,-0.3276,-1.0484
155,-0.3302,-0.8569
156,-0.3593,-1.0379
157,-0.575,-0.7682
158,-0.6723,-0.8916
159,-0.6121,-0.6864
160,-0.5022,-0.7562
161,-0.5645,-0.7699
162,-0.7462,-0.6635
163,-0.8527,-0.7161
164,-0.8518,-0.6734
165,-0.7915,-0.6032
166,-0.8572,-0.6229
167,-0.9731,-0.2526
168,-0.8026,-0.5407
169,-1.1528,-0.4416
170,-0.9261,-0.1198
171,-0.9328,-0.2845
172,-0.9808,-0.1607
173,-0.8869,-0.0541
174,-0.9785,-0.0468
175,-0.9356,0.0102
176,-1.0912,-0.0921
177,-1.1086,0.1423
178,-1.0305,0.3167
179,-0.8689,0.117
180,-0.9775,0.3546
181,-0.9023,0.3047
182,-0.8564,0.4318
183,-0.8892,0.5104
184,-0.7061,0.5221
185,-0.8778,0.6154
186,-0.6592,0.7363
187,-0.6716,0.797
188,-0.6632,0.8569
189,-0.804,0.7403
190,-0.655,0.779
191,-0.4274,0.7646
192,-0.5113,0.8365
193,-0.4166,0.9062
194,-0.5166,0.8696
195,-0.3028,0.9986
196,-0.3282,0.9871
197,-0.2661,1.0658
198,-0.0598,0.9111
199,-0.0052,1.1798
200,-0.0274,0.9932
